album,title,name,length
The King of Limbs,Bloom,Radiohead,5:15
The King of Limbs,Morning Mr Magpie,Radiohead,4:41
The King of Limbs,Little by Little,Radiohead,4:27
The King of Limbs,Feral,Radiohead,3:13
The King of Limbs,Lotus Flower,Radiohead,5:01
The King of Limbs,Codex,Radiohead,4:47
The King of Limbs,Give Up the Ghost,Radiohead,4:50
The King of Limbs,Separator,Radiohead,5:20
Dummy,Mysterons,Portishead,5:02
Dummy,Sour Times,Portishead,4:11
Dummy,Strangers,Portishead,3:55
Dummy,It Could Be Sweet,Portishead,4:16
Dummy,Wandering Star,Portishead,4:51
Dummy,It's a Fire,Portishead,3:49
Dummy,Numb,Portishead,3:54
Dummy,Roads,Portishead,5:02
Dummy,Pedestal,Portishead,3:39
Dummy,Biscuit,Portishead,5:01
Dummy,Glory Box,Portishead,5:06
